datetime,temperature,Global_active_power
2010-01-26-19-00,16.39,1230.5176
2010-01-26-20-00,15.06,1267.533705
2010-01-26-21-00,14.00,1154.84088
2010-01-26-22-00,13.28,1109.637741
2010-01-26-23-00,12.50,1033.791538
2010-01-26-00-00,11.72,1023.584752
2010-01-27-01-00,11.06,1009.563238
2010-01-27-02-00,10.39,1007.055701
2010-01-27-03-00,9.89,1003.214846
2010-01-27-04-00,9.44,1000.719596
2010-01-27-05-00,9.06,1087.094626
2010-01-27-06-00,8.78,1087.886569
2010-01-27-07-00,8.61,1281.175491
2010-01-27-08-00,8.72,1360.957083
2010-01-27-09-00,10.39,1442.982128
2010-01-27-10-00,12.61,1502.077135
2010-01-27-11-00,14.50,1520.884168
2010-01-27-12-00,16.17,1508.870751
2010-01-27-13-00,17.44,1455.8085
2010-01-27-14-00,18.39,1480.794755
2010-01-27-15-00,19.06,1471.024175
2010-01-27-16-00,19.33,1473.639164
2010-01-27-17-00,19.06,1483.294102
2010-01-27-18-00,17.89,1490.309901
2010-01-27-19-00,16.50,1246.623382
2010-01-27-20-00,15.17,1252.079271
2010-01-27-21-00,14.17,1114.764727
2010-01-27-22-00,13.33,1076.883627
2010-01-27-23-00,12.56,1010.502058
2010-01-27-00-00,11.78,1011.576976
2010-01-28-01-00,11.11,994.1657064
2010-01-28-02-00,10.44,992.8487785
2010-01-28-03-00,9.94,988.0374663
2010-01-28-04-00,9.50,982.7297159
2010-01-28-05-00,9.17,984.4654434
2010-01-28-06-00,8.83,978.6484803
2010-01-28-07-00,8.67,1053.84878
2010-01-28-08-00,8.78,1169.553679
2010-01-28-09-00,10.50,1174.105387
2010-01-28-10-00,12.72,1290.683414
2010-01-28-11-00,14.61,1325.325674
2010-01-28-12-00,16.28,1331.157182
2010-01-28-13-00,17.56,1286.166344
2010-01-28-14-00,18.50,1282.288664
2010-01-28-15-00,19.17,1285.371244
